iter	Passed	Remaining
1505	4241	1391
1506	4247	1389
1507	4249	1386
1508	4252	1383
1509	4259	1382
1510	4260	1378
1511	4263	1376
1512	4265	1373
1513	4270	1370
1514	4271	1367
1515	4273	1364
1516	4274	1361
1517	4276	1357
1518	4278	1354
1519	4281	1352
1520	4284	1349
1521	4287	1346
1522	4289	1343
1523	4294	1341
1524	4296	1338
1525	4298	1335
1526	4299	1331
1527	4301	1328
1528	4306	1326
1529	4307	1323
1530	4309	1320
1531	4311	1317
1532	4313	1313
1533	4316	1311
1534	4318	1308
1535	4321	1305
1536	4323	1302
1537	4324	1299
1538	4332	1297
1539	4335	1295
1540	4337	1291
1541	4338	1288
1542	4342	1286
1543	4345	1283
1544	4347	1280
1545	4349	1277
1546	4351	1274
1547	4355	1271
1548	4368	1271
1549	4370	1268
1550	4372	1265
1551	4374	1262
1552	4376	1259
1553	4380	1257
1554	4381	1254
1555	4383	1250
1556	4385	1247
1557	4387	1244
1558	4391	1242
1559	4393	1239
1560	4397	1236
1561	4399	1233
1562	4401	1230
1563	4404	1227
1564	4406	1224
1565	4408	1221
1566	4410	1218
1567	4411	1215
1568	4413	1212
1569	4416	1209
1570	4418	1206
1571	4420	1203
1572	4421	1200
1573	4423	1197
1574	4425	1194
1575	4426	1190
1576	4428	1187
1577	4432	1185
1578	4436	1182
1579	4438	1179
1580	4440	1176
1581	4447	1175
1582	4450	1172
1583	4452	1169
1584	4457	1167
1585	4459	1164
1586	4461	1160
1587	4463	1157
1588	4465	1155
1589	4467	1151
1590	4471	1149
1591	4473	1146
1592	4476	1143
1593	4477	1140
1594	4479	1137
1595	4482	1134
1596	4485	1131
1597	4488	1129
1598	4490	1126
1599	4492	1123
1600	4493	1119
1601	4498	1117
1602	4500	1114
1603	4502	1111
1604	4503	1108
1605	4505	1105
1606	4509	1102
1607	4512	1100
1608	4514	1097
1609	4517	1094
1610	4518	1091
1611	4522	1088
1612	4524	1085
1613	4526	1082
1614	4528	1079
1615	4530	1076
1616	4531	1073
1617	4533	1070
1618	4536	1067
1619	4538	1064
1620	4540	1061
1621	4542	1058
1622	4544	1055
1623	4545	1052
1624	4551	1050
1625	4555	1047
1626	4557	1044
1627	4559	1041
1628	4563	1039
1629	4567	1036
1630	4569	1033
1631	4570	1030
1632	4572	1027
1633	4582	1026
1634	4584	1023
1635	4586	1020
1636	4590	1017
1637	4593	1015
1638	4595	1012
1639	4598	1009
1640	4600	1006
1641	4602	1003
1642	4610	1001
1643	4612	998
1644	4615	996
1645	4618	993
1646	4620	990
1647	4622	987
1648	4624	984
1649	4626	981
1650	4632	979
1651	4635	976
1652	4637	973
1653	4639	970
1654	4643	967
1655	4645	964
1656	4646	961
1657	4648	958
1658	4650	955
1659	4651	952
1660	4653	949
1661	4655	946
1662	4658	944
1663	4660	941
1664	4662	938
1665	4664	935
1666	4666	932
1667	4670	929
1668	4677	927
1669	4688	926
1670	4691	923
1671	4693	920
1672	4705	919
1673	4708	916
1674	4710	913
1675	4723	913
1676	4726	910
1677	4728	907
1678	4731	904
1679	4739	902
1680	4742	899
1681	4744	896
1682	4746	893
1683	4749	891
1684	4753	888
1685	4757	886
1686	4766	884
1687	4771	881
1688	4779	880
1689	4781	877
1690	4783	874
1691	4787	871
1692	4790	868
1693	4792	865
1694	4794	862
1695	4795	859
1696	4799	856
1697	4804	854
1698	4806	851
1699	4807	848
1700	4809	845
1701	4813	842
1702	4815	839
1703	4817	836
